epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,183.675,1.16271,1.43894,0.97332,0.69404,0.73099,0.74699,0.45543,1.40402,1.49375,1.06813,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625
59,186.703,1.11237,1.35192,0.97192,0.59727,0.81422,0.74195,0.4509,1.38733,1.43378,1.06418,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
60,189.732,1.12798,1.31252,0.9694,0.82477,0.63825,0.75183,0.47386,1.35175,1.41467,1.04959,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875
61,192.764,1.12828,1.34524,0.994,0.79116,0.68842,0.74975,0.47788,1.3215,1.45188,1.03261,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
62,195.834,1.16245,1.32045,0.98208,0.79618,0.6929,0.73889,0.46961,1.3752,1.48229,1.05107,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125
63,198.892,1.09133,1.24225,0.96037,0.80873,0.67938,0.75412,0.46275,1.36645,1.47,1.0556,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
64,201.914,1.09539,1.25894,0.96544,0.76264,0.67685,0.75748,0.46933,1.39439,1.43291,1.07254,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375
65,204.92,1.12612,1.27933,0.98121,0.75027,0.66631,0.75115,0.45302,1.45112,1.49355,1.08074,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
66,208.017,1.0963,1.33315,0.97289,0.79227,0.61259,0.72932,0.45889,1.41007,1.4693,1.07203,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
67,210.91,1.10519,1.28711,0.97293,0.76819,0.67632,0.76386,0.4564,1.41594,1.44585,1.09028,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
68,213.851,1.12104,1.27768,0.97617,0.84357,0.68237,0.78299,0.46989,1.39266,1.37062,1.07953,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875
69,216.783,1.10382,1.25506,0.97304,0.73998,0.69386,0.75664,0.44096,1.38464,1.41364,1.07454,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
70,219.784,1.11737,1.27211,0.96516,0.74185,0.71636,0.77047,0.46585,1.39634,1.44775,1.07543,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125
71,222.692,1.12277,1.25408,0.97344,0.76739,0.68152,0.74612,0.45438,1.35719,1.41658,1.06125,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
72,225.793,1.08402,1.24238,0.96086,0.71607,0.68792,0.73956,0.44113,1.37526,1.41584,1.06529,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375
73,228.812,1.10651,1.24045,0.96431,0.76658,0.67109,0.73332,0.45255,1.38194,1.46954,1.06216,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
74,231.753,1.09142,1.27275,0.9528,0.77096,0.70181,0.7451,0.45953,1.39913,1.41753,1.07146,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625
75,234.691,1.06259,1.17404,0.9544,0.76171,0.73572,0.76452,0.49051,1.34016,1.36636,1.05935,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
76,237.704,1.07684,1.25031,0.95792,0.70341,0.76326,0.76963,0.49253,1.32991,1.37256,1.04722,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
77,241.007,1.05076,1.20536,0.95319,0.66361,0.76181,0.76601,0.48502,1.35248,1.38124,1.05609,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
78,244.126,1.09087,1.24786,0.9549,0.73423,0.69678,0.74398,0.46751,1.3861,1.39944,1.06966,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125
